Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
56	-1.2105263	24.858501	53.0	-93.0	26.3	-0.6042953	9.941498	32.190228	-42.90574	285000	3.3378602e-09	213.5384	-0.02839321	-59.161407	0.24969062	0.011900414	0.1002	79.0	323.9343295097351
57	-0.4117647	25.05345	84.0	-70.0	26.700535	-1.2541455	9.404739	30.512516	-31.532475	290000	1.5258789e-09	196.95345	-0.02731508	-51.069046	0.22990732	0.0055471784	0.084	79.0	330.0385363101959
58	-2.564516	22.72341	54.0	-51.0	26.88172	-0.34423944	9.183425	23.646557	-33.561024	295000	6.1035155e-09	186.56006	-0.030177664	-52.748627	0.24315527	0.011240046	0.0952	79.0	336.2132420539856
59	-1.1111112	24.326775	57.0	-64.0	26.412699	-0.9155812	9.589269	38.358707	-31.816069	300000	-1.3351441e-08	203.5587	-0.031938687	-48.68376	0.2341709	0.011511927	0.0902	79.0	342.5494725704193
60	-1.8924731	24.839035	63.0	-68.0	26.768818	-0.07522275	9.235201	37.00945	-33.217396	305000	-1.7547608e-08	211.513	-0.031572558	-69.5134	0.24524848	0.008594565	0.0986	79.0	348.59969305992126
61	-2.8421052	24.809938	57.0	-89.0	26.226316	-0.12596762	9.666051	31.079527	-40.88516	310000	1.1062622e-08	226.48175	-0.030821105	-66.78133	0.24464986	0.006439386	0.095	79.0	354.75072407722473
62	-3.7204301	25.258818	50.0	-68.0	26.758064	-0.84961563	10.706046	29.987083	-76.80504	315000	1.4209747e-08	216.48535	-0.03090292	-59.21492	0.23988008	0.008402162	0.0978	79.0	361.2436680793762
63	-3.106383	25.360579	63.0	-72.0	26.521276	-1.7583604	9.929106	35.448532	-35.73583	320000	-5.722046e-10	215.58708	-0.029116562	-62.565765	0.2271602	0.010750369	0.0914	79.0	367.742226600647
64	-2.5578947	25.865732	61.0	-97.0	26.294737	-1.8188835	9.858765	26.592669	-43.285057	325000	-1.5449524e-08	220.8449	-0.028749192	-65.73486	0.23351894	0.008478032	0.0902	79.0	374.1467854976654
65	-2.755319	23.803802	66.0	-73.0	26.579786	-1.5003133	11.166516	31.011349	-59.082623	330000	5.722046e-09	204.91057	-0.03031628	-62.323914	0.2371368	0.00810594	0.1024	79.0	380.93891048431396
66	-0.022222223	25.95508	78.0	-64.0	27.716667	0.43701315	9.686667	31.68998	-46.943325	335000	1.1444092e-09	246.04166	-0.030218279	-81.20999	0.243168	0.012166974	0.099	79.0	387.25986981391907
67	-5.9153438	25.764364	78.0	-81.0	26.322752	0.41667303	10.199982	33.087334	-58.959755	340000	-5.340576e-09	238.10645	-0.030085452	-81.48312	0.23376606	0.00937739	0.092	79.0	393.75457096099854
68	-2.2659574	26.339912	52.0	-94.0	26.542553	-2.0965168	10.248061	62.96443	-51.472923	345000	-1.2969971e-08	256.84894	-0.027918193	-101.07361	0.22566977	0.009014976	0.0952	79.0	400.4503242969513
69	-7.1373625	34.118053	122.0	-276.0	27.346153	-2.833796	16.040936	30.11123	-172.88022	350000	5.531311e-09	373.9136	-0.024208467	-155.9019	0.22002807	0.014355881	0.101	79.0	407.084312915802
70	-1.3723404	23.944078	48.0	-91.0	26.531916	-2.293268	10.289156	62.563118	-43.30496	355000	-5.2452087e-09	225.12254	-0.030543039	-73.04532	0.23203734	0.006526983	0.091	79.0	413.69426941871643
71	-3.0597825	24.1362	51.0	-77.0	27.168478	-0.74870867	9.573846	30.160154	-66.697136	360000	-4.6253206e-09	198.36972	-0.032218125	-64.19322	0.22249553	0.009127591	0.0952	79.0	420.7358064651489
72	-5.73545	24.315037	77.0	-106.0	26.343916	-1.6997359	10.008575	33.33794	-46.031517	365000	1.3160705e-08	220.41147	-0.029160755	-59.42569	0.23407774	0.0076318085	0.0918	79.0	427.3674783706665
73	-1.068421	24.2031	74.0	-59.0	26.310526	-1.0370551	9.124763	31.824818	-39.577614	370000	-1.0871887e-08	184.70927	-0.030428978	-41.896805	0.22749087	0.007637686	0.0998	79.0	434.4183382987976
74	0.5	24.866621	64.0	-65.0	27.472527	-0.22862063	9.761141	36.8145	-47.9811	375000	-1.1825562e-08	225.70815	-0.028401453	-70.54437	0.20719776	0.0074744066	0.0936	79.0	441.2255389690399
75	-2.4973261	26.038923	67.0	-62.0	26.647058	0.39964765	9.592565	44.080807	-33.859894	380000	3.8146974e-09	227.78745	-0.0270171	-66.61235	0.2054231	0.010223155	0.0882	79.0	448.23503947257996
76	-2.9945354	24.2745	62.0	-90.0	27.262295	-1.5203543	10.199459	36.990482	-41.617584	385000	1.2969971e-08	211.3461	-0.028420594	-76.89557	0.20466301	0.009199231	0.089	79.0	454.9730603694916
77	-1.2594595	26.367008	79.0	-81.0	26.913513	-0.085762106	10.226997	30.471342	-39.079082	390000	-7.05719e-09	246.86267	-0.028926989	-72.254166	0.20629409	0.012158344	0.0934	79.0	461.98803544044495
78	-0.08791209	26.912004	74.0	-78.0	27.401098	0.93098867	9.575818	60.778126	-28.919798	395000	5.340576e-09	239.27534	-0.027981445	-55.751114	0.2129625	0.009339497	0.095	79.0	469.0874135494232
79	0.5652174	27.935213	94.0	-183.0	27.027174	1.1462227	10.102133	76.193146	-47.918457	400000	-3.671646e-09	381.8578	-0.026787717	-192.29048	0.22440723	0.013350523	0.102	79.0	476.611869096756
80	-3.4278076	29.726902	78.0	-128.0	26.73262	0.25204164	9.537647	26.01295	-68.21644	405000	1.0871887e-08	271.913	-0.03052746	-69.39339	0.22455947	0.011937168	0.106	79.0	483.8558864593506
81	-4.75	25.073858	61.0	-73.0	27.14674	-1.7812427	10.732646	33.184742	-74.3549	410000	6.866455e-09	229.35915	-0.029383875	-62.706406	0.22258501	0.01276239	0.1146	79.0	491.3043932914734
82	-0.96132594	26.220352	61.0	-67.0	27.436464	-1.2725796	10.610596	34.89148	-56.17445	415000	7.6293943e-10	223.79575	-0.031311177	-58.951736	0.22331533	0.009491823	0.1048	79.0	498.79026436805725
83	-1.9319372	25.99115	73.0	-79.0	26.125654	-0.5099561	10.119584	29.987827	-44.08462	420000	-7.6293943e-10	225.1068	-0.03109278	-61.169724	0.22471379	0.014255208	0.1052	79.0	505.4071056842804
84	-6.841808	24.900887	49.0	-84.0	28.124294	-0.86468077	9.955836	28.975948	-50.615242	425000	7.629395e-09	225.88776	-0.0285514	-58.877625	0.205576	0.009271696	0.095	79.0	512.5695707798004
85	-2.435484	26.409893	57.0	-113.0	26.650537	-1.8071886	10.153144	28.386404	-48.17216	430000	1.6021728e-08	235.1073	-0.031309016	-62.743805	0.20777434	0.013855817	0.1064	79.0	519.6116373538971
86	-2.3703704	25.450031	111.0	-87.0	26.343916	-0.5235976	9.763395	26.052355	-42.088066	435000	-5.817413e-09	217.82295	-0.02929002	-46.9386	0.21976943	0.011740413	0.0986	79.0	527.0008659362793
87	-0.18478261	24.6071	64.0	-62.0	27.130434	-0.27395543	9.81545	40.91518	-48.440475	440000	-1.5830993e-08	224.46385	-0.028133335	-65.855896	0.21726419	0.0077593382	0.0892	79.0	534.3471772670746
88	-7.6944447	26.266602	66.0	-94.0	27.6	-0.5947575	10.628175	40.282074	-53.54832	445000	-3.8146974e-09	265.85114	-0.033380665	-82.32869	0.20002815	0.010464688	0.1072	79.0	541.6020772457123
89	-3.8186812	24.822117	64.0	-94.0	27.423077	-2.4524527	10.571694	28.890339	-60.774746	450000	8.773804e-09	207.00267	-0.030874912	-48.81012	0.1965051	0.00974165	0.0902	79.0	548.8587534427643
90	-3.6648352	25.422428	46.0	-79.0	27.428572	-1.7969717	9.549232	25.243662	-45.251915	455000	0.0	230.34915	-0.0281997	-48.84517	0.1959528	0.00358637	0.0868	79.0	555.8799364566803
91	-1.0324324	25.93149	51.0	-81.0	26.94054	-0.5708097	8.670069	24.553452	-34.834793	460000	2.5749207e-09	227.16075	-0.02681774	-56.240616	0.19710974	0.008117433	0.0906	79.0	562.8957960605621
92	-5.0957446	25.492832	61.0	-118.0	26.50532	0.56276846	9.792429	37.55427	-48.5089	465000	5.722046e-10	240.07205	-0.025902575	-74.80023	0.17022024	0.009780455	0.079	79.0	570.8680956363678
93	-4.225806	26.325762	60.0	-95.0	26.876345	-2.178369	9.676732	29.94415	-32.687313	470000	-1.2397766e-08	229.9934	-0.027350338	-57.479187	0.19164252	0.0059980145	0.0848	79.0	578.4774954319
94	-2.494737	23.093346	61.0	-55.0	26.31579	-0.9519979	9.536143	24.352894	-49.397045	475000	1.01089475e-08	173.72945	-0.02816479	-45.00357	0.17825651	0.012284395	0.0974	79.0	585.9188854694366
95	0.36216217	25.588505	59.0	-59.0	26.945946	-1.5313458	9.777276	25.785692	-72.90722	480000	8.678437e-09	228.2857	-0.02740802	-69.35571	0.18121557	0.009787703	0.0938	79.0	593.3767809867859
96	-4.3507853	23.286234	54.0	-57.0	26.073298	-0.21877158	9.985194	24.911692	-36.60693	485000	-5.340576e-09	195.06184	-0.02990368	-54.111145	0.18386184	0.0115918415	0.0946	79.0	600.7470061779022
97	-1.3664922	25.980898	66.0	-97.0	26.162304	-0.62144715	9.162675	30.222055	-73.70792	490000	-1.1253357e-08	242.8034	-0.025216473	-71.27803	0.18252261	0.006361678	0.0872	79.0	608.490772485733
98	-4.6010637	26.985918	62.0	-81.0	26.569149	-0.3811376	9.488901	25.866426	-46.06737	495000	-1.1062622e-08	245.0978	-0.030005474	-71.271255	0.1837406	0.010130437	0.0942	79.0	616.5811908245087
99	-4.4585633	24.859488	84.0	-74.0	27.513813	-2.2911625	10.132652	26.646505	-45.933414	500000	-1.6021728e-08	232.89157	-0.027816575	-70.11644	0.19017819	0.008195923	0.0882	79.0	624.4647998809814
100	-4.5108695	24.235258	52.0	-68.0	27.086956	-2.3700502	9.930456	28.66611	-50.182163	505000	-1.039505e-08	188.17552	-0.028160324	-45.67079	0.16487995	0.011303027	0.0888	79.0	632.2823739051819
101	-5.5752687	26.856993	63.0	-92.0	26.817204	-2.7111225	9.075588	24.851852	-38.765343	510000	2.9563905e-09	251.89822	-0.02803231	-73.464005	0.18534127	0.011630517	0.0906	79.0	639.863302230835
102	-4.103825	24.256037	71.0	-69.0	27.229507	-2.1077988	10.759815	42.756065	-68.22855	515000	-1.335144e-09	233.77768	-0.028532606	-79.35458	0.17830156	0.013151138	0.0894	79.0	647.7052028179169
103	-4.0393257	24.325129	50.0	-73.0	28.039326	-2.2097044	9.760535	23.820656	-64.88721	520000	1.7166137e-09	224.5702	-0.027275588	-65.42508	0.17817102	0.009092671	0.0904	79.0	655.3362085819244
104	-2.2912087	25.897469	60.0	-78.0	27.43956	-2.0289254	9.939321	32.062634	-57.328194	525000	4.7683715e-09	217.76007	-0.029316174	-63.70479	0.19900784	0.011159509	0.1026	79.0	662.5242371559143
105	-0.21243523	23.400135	50.0	-57.0	25.865286	-0.30022565	9.401843	28.108854	-58.127148	530000	-6.1035155e-09	190.21707	-0.027763337	-52.575394	0.18185171	0.012329564	0.0918	79.0	670.4469809532166
106	-2.231579	24.78304	58.0	-63.0	26.221052	-0.4373036	9.235205	23.961107	-37.463608	535000	2.670288e-09	196.0853	-0.028899446	-48.74193	0.18952508	0.0077742767	0.099	79.0	678.2302191257477
107	-3.7883599	25.993237	47.0	-78.0	26.391535	-0.9974047	9.717364	27.93298	-35.829346	540000	6.866455e-09	219.3674	-0.025938323	-64.34566	0.1769748	0.011290522	0.0816	79.0	686.0925710201263
108	-1.7277777	25.087366	60.0	-82.0	27.755556	-2.0495417	10.42713	42.26203	-56.119167	545000	-9.536743e-09	221.63765	-0.029036935	-68.599106	0.1927031	0.013865588	0.1014	79.0	694.4068331718445
109	-3.6885245	25.725458	54.0	-93.0	27.147541	-0.24027231	10.034108	44.43854	-62.164425	550000	-1.5258789e-09	242.54977	-0.02727458	-71.99443	0.1782784	0.009647466	0.0908	79.0	702.5384948253632
110	-2.9106145	27.122787	66.0	-94.0	27.793297	-1.0959321	9.980254	34.83741	-56.969227	555000	3.0517577e-09	228.06552	-0.027883539	-64.76105	0.1813585	0.007917798	0.0938	79.0	710.5086574554443
111	-0.5081967	23.673754	72.0	-69.0	27.31694	-0.9540731	9.708166	31.31712	-38.236214	560000	-6.1035155e-09	205.00998	-0.02668744	-58.286606	0.1834387	0.010237579	0.0942	79.0	718.4087500572205
112	-6.9175825	23.577993	45.0	-60.0	27.456043	-1.2474785	9.113512	36.64081	-37.098095	565000	1.8692017e-08	219.90442	-0.028318204	-73.19615	0.1833799	0.007990399	0.0994	79.0	726.0566804409027
113	-2.545977	29.145012	100.0	-70.0	28.58046	-2.372276	9.763234	24.82064	-57.086884	570000	-7.6293943e-10	308.13962	-0.027701087	-108.378174	0.16863398	0.011538486	0.093	79.0	733.2239446640015
114	-2.8	22.72867	56.0	-69.0	26.854053	-0.8863264	10.425259	32.71925	-54.674973	575000	4.7683715e-09	196.84558	-0.027514199	-57.267654	0.16966474	0.010872606	0.089	79.0	741.1154735088348
115	-3.5810056	34.126087	112.0	-251.0	27.681564	-1.8792274	9.677431	29.68323	-47.155266	580000	8.392334e-09	313.1007	-0.021909885	-68.5464	0.15658405	0.011214213	0.0774	79.0	749.7018303871155
116	0.63212436	23.574913	49.0	-76.0	25.81347	0.051531404	10.467698	43.18895	-43.269466	585000	5.531311e-09	193.75955	-0.029056756	-57.08705	0.16994448	0.015033635	0.0976	72.0	757.8427777290344
117	0.29787233	24.876219	100.0	-70.0	26.569149	1.1605406	10.129754	45.18271	-32.59399	590000	8.773804e-09	219.3471	-0.026972052	-63.126938	0.19081737	0.010422518	0.0986	79.0	765.8660554885864
118	-0.5714286	27.263123	63.0	-111.0	27.423077	0.6120882	9.694803	38.276886	-31.497276	595000	3.0517577e-09	215.7367	-0.028026136	-51.56952	0.20069869	0.008186895	0.0878	79.0	773.8682518005371
